sequence_number,total_time_millis,step_time_millis,voltage,current,power,step_amp_hours,step_charged_amp_hours,step_discharged_amp_hours,step_watt_hours,step_charged_watt_hours,step_discharged_watt_hours,total_cycle,step_number,step_type,step_id,cycler_type,observed_at
306,1498604,4,0.5228695,-0.2000003,-0.10457405686084999,1.0199999999974119e-6,0.0,1.0199999999974119e-6,5.200000000003813e-7,0.0,5.200000000003813e-7,5,18,CC_DChg,9,arbin,2021-04-21T17:39:20.395200000
307,1503635,5006,0.5586104,0.1999973,0.11172057175191999,0.0002738400000000009,0.00027356000000000255,2.7999999999833713e-7,0.00014902999999999791,0.00014887999999999707,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:25.425800000
308,1508642,10013,0.586965,0.2000031,0.11739481959149999,0.0005531499999999988,0.0005528700000000004,2.7999999999833713e-7,0.00030900999999999845,0.0003088599999999976,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:30.432900000
309,1513646,15017,0.6148848,0.1999963,0.12297468492623999,0.0008344100000000007,0.0008341300000000024,2.7999999999833713e-7,0.0004780799999999988,0.00047792999999999794,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:35.437000000
310,1518650,20021,0.642548,0.2000022,0.1285110136056,0.0011112900000000009,0.0011110100000000026,2.7999999999833713e-7,0.0006522300000000002,0.0006520799999999993,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:40.440500000
311,1523657,25028,0.6701111,0.200003,0.1340242303333,0.0013875999999999993,0.001387320000000001,2.7999999999833713e-7,0.0008336000000000003,0.0008334499999999995,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:45.447500000
312,1528665,30037,0.6974778,0.2000027,0.13949744319006002,0.0016650899999999975,0.0016648099999999992,2.7999999999833713e-7,0.0010233299999999994,0.0010231799999999985,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:50.456200000
313,1533673,35044,0.7247538,0.2000025,0.1449525718845,0.0019425899999999975,0.0019423099999999992,2.7999999999833713e-7,0.00122069,0.0012205399999999991,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:39:55.463500000
314,1538675,40046,0.7519011,0.2000028,0.15038232532308,0.0022234700000000017,0.0022231900000000034,2.7999999999833713e-7,0.0014280999999999981,0.0014279499999999973,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:00.466000000
315,1543684,45056,0.7790246,0.2000032,0.15580741287872,0.0025006800000000017,0.0025004000000000033,2.7999999999833713e-7,0.0016403299999999989,0.001640179999999998,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:05.475400000
316,1548695,50066,0.8060507,0.2000026,0.16121223573182,0.0027778699999999983,0.00277759,2.7999999999833713e-7,0.0018600200000000004,0.0018598699999999996,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:10.485900000
317,1553706,55077,0.833054,0.2000034,0.1666136323836,0.0030578499999999974,0.003057569999999999,2.7999999999833713e-7,0.0020894899999999994,0.0020893399999999986,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:15.496900000
318,1558717,60088,0.8599133,0.2000028,0.17198506775724,0.00333636,0.0033360800000000017,2.7999999999833713e-7,0.0023253199999999988,0.002325169999999998,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:20.507500000
319,1563719,65090,0.8867831,0.1999967,0.17735369361577,0.0036110699999999975,0.003610789999999999,2.7999999999833713e-7,0.00256524,0.002565089999999999,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:25.509800000
320,1568730,70101,0.9136233,0.1999963,0.18272127959379,0.0038935099999999993,0.003893230000000001,2.7999999999833713e-7,0.002819479999999999,0.0028193299999999984,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:30.520900000
321,1573741,75113,0.9403729,0.2000031,0.18807749515598998,0.004171320000000003,0.004171040000000004,2.7999999999833713e-7,0.0030770599999999995,0.0030769099999999987,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:35.532300000
322,1578750,80122,0.9670577,0.2000037,0.19341511811349002,0.004440490000000002,0.0044402100000000035,2.7999999999833713e-7,0.0033336999999999985,0.0033335499999999976,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:40.541200000
323,1583758,85129,0.9937329,0.1999969,0.19874349942801,0.004721409999999999,0.0047211300000000005,2.7999999999833713e-7,0.0036089699999999995,0.0036088199999999987,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:45.549000000
324,1588769,90140,1.020314,0.1999972,0.2040599431208,0.005006069999999998,0.0050057899999999995,2.7999999999833713e-7,0.0038955599999999993,0.0038954099999999985,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:50.559400000
325,1593773,95144,1.046914,0.1999971,0.2093797639494,0.005276109999999997,0.005275829999999999,2.7999999999833713e-7,0.00417462,0.00417447,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:40:55.564100000
326,1598774,100145,1.073347,0.1999968,0.21466596528960002,0.005561060000000003,0.005560780000000005,2.7999999999833713e-7,0.004476609999999999,0.004476459999999998,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:41:00.565100000
327,1603778,105149,1.099733,0.1999968,0.2199430808544,0.005840729999999999,0.0058404500000000005,2.7999999999833713e-7,0.00478052,0.004780369999999999,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:41:05.568600000
328,1608785,110156,1.126112,0.2000025,0.22522521528,0.006116130000000001,0.0061158500000000025,2.7999999999833713e-7,0.005087029999999999,0.0050868799999999985,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:41:10.575700000
329,1613786,115157,1.152371,0.2000032,0.2304778875872,0.0063923199999999965,0.006392039999999998,2.7999999999833713e-7,0.005401670000000001,0.00540152,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:41:15.577100000
330,1618631,120003,1.177782,0.1999967,0.23555251331940003,0.006666090000000003,0.006665810000000005,2.7999999999833713e-7,0.005720639999999999,0.005720489999999998,1.500000000008439e-7,5,19,CC_Chg,7,arbin,2021-04-21T17:41:20.422300000
331,1623661,5004,1.141831,-0.2000011,-0.2283674560141,0.0002739299999999986,9.099999999997999e-7,0.0002730199999999988,0.0003167499999999976,1.0699999999988496e-6,0.00031567999999999874,5,20,CC_DChg,8,arbin,2021-04-21T17:41:25.451500000
332,1628665,10008,1.113305,-0.2000018,-0.22266300394900002,0.0005542300000000028,9.099999999997999e-7,0.000553320000000003,0.0006327999999999993,1.0699999999988496e-6,0.0006317300000000005,5,20,CC_DChg,8,arbin,2021-04-21T17:41:30.455800000
333,1633666,15010,1.085159,-0.2000004,-0.2170322340636,0.0008261999999999992,9.099999999997999e-7,0.0008252899999999994,0.0009318399999999998,1.0699999999988496e-6,0.0009307700000000009,5,20,CC_DChg,8,arbin,2021-04-21T17:41:35.457300000
334,1638672,20015,1.057362,-0.2000005,-0.21147292868099998,0.0011093000000000006,9.099999999997999e-7,0.0011083900000000008,0.0012351700000000007,1.0699999999988496e-6,0.0012341000000000019,5,20,CC_DChg,8,arbin,2021-04-21T17:41:40.462600000
335,1643673,25016,1.029661,-0.2000013,-0.20593353855929997,0.0013905000000000028,9.099999999997999e-7,0.001389590000000003,0.0015285399999999984,1.0699999999988496e-6,0.0015274699999999995,5,20,CC_DChg,8,arbin,2021-04-21T17:41:45.464100000
336,1648677,30020,1.002183,-0.2000016,-0.2004382034928,0.0016614699999999982,9.099999999997999e-7,0.0016605599999999984,0.0018038399999999975,1.0699999999988496e-6,0.0018027699999999987,5,20,CC_DChg,8,arbin,2021-04-21T17:41:50.467600000
337,1653681,35025,0.9748692,-0.2000017,-0.19497549727764,0.0019465099999999985,9.099999999997999e-7,0.0019455999999999987,0.002085609999999998,1.0699999999988496e-6,0.0020845399999999993,5,20,CC_DChg,8,arbin,2021-04-21T17:41:55.472300000
338,1658686,40029,0.9476962,-0.2000012,-0.18954037723543998,0.002223059999999999,9.099999999997999e-7,0.002222149999999999,0.0023513899999999983,1.0699999999988496e-6,0.0023503199999999995,5,20,CC_DChg,8,arbin,2021-04-21T17:42:00.476900000
339,1663695,45038,0.920608,-0.2000007,-0.1841222444256,0.00250239,9.099999999997999e-7,0.0025014800000000004,0.002612279999999998,1.0699999999988496e-6,0.0026112099999999992,5,20,CC_DChg,8,arbin,2021-04-21T17:42:05.485800000
340,1668696,50039,0.8937134,-0.2000012,-0.17874375245607999,0.0027787199999999984,9.099999999997999e-7,0.0027778099999999986,0.0028628899999999964,1.0699999999988496e-6,0.0028618199999999976,5,20,CC_DChg,8,arbin,2021-04-21T17:42:10.486700000
341,1673701,55044,0.8669028,-0.2000011,-0.17338151359308,0.0030543400000000026,9.099999999997999e-7,0.003053430000000003,0.0031055100000000023,1.0699999999988496e-6,0.0031044400000000034,5,20,CC_DChg,8,arbin,2021-04-21T17:42:15.491300000
342,1678703,60046,0.8402323,-0.2000011,-0.16804738425553,0.003336510000000001,9.099999999997999e-7,0.003335600000000001,0.0033463199999999964,1.0699999999988496e-6,0.0033452499999999975,5,20,CC_DChg,8,arbin,2021-04-21T17:42:20.493700000
